is Elon Musk,created at,source,possibly sensitive,lang,has_text,has_link,has_hashtag,has_at,has_emoji,sentiment,subjectivity,retweet count,reply count,like count,quote count
1,2022-04-18 14:15:38+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,13043,11535,164268,855
1,2022-04-17 21:09:42+00:00,Twitter for iPhone,0,en,1,0,0,0,0,1.0,1.0,37565,34227,585051,2958
1,2022-04-17 16:27:49+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.4,0.5,16679,10956,237200,1042
1,2022-04-16 19:02:24+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.5,0.6,24230,31772,384025,4176
1,2022-04-15 20:09:48+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.25,0.2,23426,31629,352323,2137
1,2022-04-14 22:07:09+00:00,Twitter for iPhone,0,und,1,0,0,0,0,0.0,0.0,20675,18580,237614,2134
1,2022-04-14 21:40:23+00:00,Twitter for iPhone,0,qst,1,0,0,0,0,0.0,0.0,84721,87917,1189626,16909
1,2022-04-14 20:12:08+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.375,31599,23953,205251,4398
1,2022-04-14 19:06:07+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.5,0.5,11019,7206,181984,884
1,2022-04-14 11:23:21+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,106629,79096,899588,31563
1,2022-04-10 00:03:19+00:00,Twitter for iPhone,0,en,1,0,0,0,0,-0.625,1.0,9024,9784,164147,1064
1,2022-04-09 20:14:20+00:00,Twitter for iPhone,0,en,1,0,0,0,0,-0.4000000000000001,0.6,63745,36595,713498,8679
1,2022-04-09 20:12:22+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.25,0.3333333333333333,23241,19085,202618,3132
1,2022-04-09 13:38:00+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.8125,4515,7635,109049,1293
1,2022-04-09 13:35:49+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,5618,5885,115188,7026
1,2022-04-09 13:32:31+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.2640625,0.6375,17498,31220,207247,6238
1,2022-04-09 12:37:44+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.5,0.5,6456,7587,66333,548
1,2022-04-08 10:50:44+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.625,0.5416666666666666,10580,9429,195337,607
1,2022-04-08 01:43:01+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,4546,7137,61618,345
